City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,katima mulilo,-17.5,24.2667,17.24,32,5,1.51,NA,2023-06-10 21:46:36
278,tuba city,36.135,-111.2399,26.59,14,100,2.28,US,2023-06-10 21:46:36
279,dawson creek,55.7666,-120.2362,22.8,49,20,8.75,CA,2023-06-10 21:46:37
280,xicotencatl,23.0167,-98.8833,39.09,33,1,6.21,MX,2023-06-10 21:46:37
281,anta,25.15,76.3,34.36,34,21,9.05,IN,2023-06-10 21:46:37
282,junin de los andes,-39.9504,-71.0694,-0.62,85,5,3.49,AR,2023-06-10 21:46:37
283,quellon,-43.1167,-73.6167,7.14,93,75,1.54,CL,2023-06-10 21:46:37
284,bichena,10.45,38.2,16.53,62,100,1.54,ET,2023-06-10 21:46:37
285,minas de marcona,-15.2119,-75.1103,14.21,77,26,6.92,PE,2023-06-10 21:46:37
286,kenora,49.8167,-94.4337,19.54,37,0,6.17,CA,2023-06-10 21:46:37
287,sosnovo-ozerskoye,52.5249,111.5418,14.48,56,71,1.26,RU,2023-06-10 21:46:38
288,ndibene dahra,15.3338,-15.4766,39.99,25,53,6.0,SN,2023-06-10 21:46:38
289,axim,4.8699,-2.2405,25.29,85,100,7.23,GH,2023-06-10 21:46:38
290,yaren,-0.5472,166.916,28.37,76,70,5.4,NR,2023-06-10 21:46:38
291,jardin america,-27.0435,-55.227,21.3,80,91,1.38,AR,2023-06-10 21:46:38
292,yuanping,38.7153,112.7575,15.92,38,4,1.26,CN,2023-06-10 21:46:38
293,cajati,-24.7361,-48.1228,20.98,72,0,1.43,BR,2023-06-10 21:46:15
294,port nelson,23.6333,-74.8333,28.03,79,100,2.54,BS,2023-06-10 21:46:38
295,kingston,17.997,-76.7936,31.25,74,20,8.75,JM,2023-06-10 21:46:39
296,paka,4.6374,103.4368,24.96,94,98,0.0,MY,2023-06-10 21:46:39
297,margate,51.3813,1.3862,19.27,70,17,2.68,GB,2023-06-10 21:46:39
